WL (nm),MAC (m2/mg)
350,0.0021
351,0.0022
352,0.0023
353,0.0024
354,0.0025
355,0.0026
356,0.0027
357,0.0028
358,0.003
359,0.0032
360,0.0034
361,0.0036
362,0.0038
363,0.004
364,0.0042
365,0.0044
366,0.0046
367,0.0048
368,0.005
369,0.0052
370,0.0054
371,0.0056
372,0.0058
373,0.006
374,0.0062
375,0.0064
376,0.0066
377,0.0068
378,0.007
379,0.0072
380,0.0074
381,0.0077
382,0.008
383,0.0083
384,0.0086
385,0.0089
386,0.0092
387,0.0095
388,0.0098
389,0.0101
390,0.0104
391,0.0107
392,0.011
393,0.0113
394,0.0116
395,0.0119
396,0.0122
397,0.0125
398,0.0128
399,0.0131
400,0.0138
401,0.0145
402,0.0151
403,0.0157
404,0.0164
405,0.0171
406,0.0178
407,0.0185
408,0.019
409,0.0196
410,0.0202
411,0.0209
412,0.0215
413,0.0221
414,0.0227
415,0.0233
416,0.024
417,0.0247
418,0.0254
419,0.0261
420,0.027
421,0.028
422,0.029
423,0.0299
424,0.031
425,0.0321
426,0.0332
427,0.0343
428,0.0354
429,0.0365
430,0.0375
431,0.0384
432,0.0392
433,0.0399
434,0.0406
435,0.0412
436,0.0417
437,0.0422
438,0.0426
439,0.043
440,0.04335
441,0.0437
442,0.0442
443,0.0446
444,0.0452
445,0.0458
446,0.0466
447,0.0474
448,0.0484
449,0.0494
450,0.05055
451,0.0517
452,0.053
453,0.0542
454,0.0553
455,0.0564
456,0.0573
457,0.0583
458,0.059
459,0.0596
460,0.06
461,0.0603
462,0.06025
463,0.0602
464,0.0598
465,0.0593
466,0.0586
467,0.0579
468,0.057
469,0.056
470,0.055
471,0.0541
472,0.0532
473,0.0524
474,0.0517
475,0.051
476,0.05065
477,0.0503
478,0.0503
479,0.0503
480,0.05045
481,0.0506
482,0.051
483,0.0515
484,0.052
485,0.0524
486,0.05265
487,0.0529
488,0.05305
489,0.0532
490,0.0529
491,0.0526
492,0.0518
493,0.051
494,0.0499
495,0.0488
496,0.0472
497,0.0457
498,0.0437
499,0.042
500,0.0399
501,0.0378
502,0.0356
503,0.0334
504,0.0311
505,0.0288
506,0.0267
507,0.0245
508,0.0225
509,0.0205
510,0.0187
511,0.0168
512,0.0153
513,0.0138
514,0.0124
515,0.011
516,0.0099
517,0.0087
518,0.0075
519,0.0069
520,0.0061
521,0.0054
522,0.0048
523,0.0043
524,0.0038
525,0.0033
526,0.003
527,0.0027
528,0.0025
529,0.0022
530,0.0019
531,0.0016
532,0.00145
533,0.0013
534,0.00115
535,0.001
536,0.00085
537,0.0007
538,0.0007
539,0.0007
540,0.00065
541,0.0006
542,0.00045
543,0.0003
544,0.0003
545,0.0003
546,0.00025
547,0.0002
548,0.00015
549,0.0001
550,0.0001
551,0.0001
552,0.00005
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
