WL (nm),MAC (m2/mg)
350,0.000906
351,0.000951
352,0.000997
353,0.001042
354,0.001087
355,0.001133
356,0.001178
357,0.001223
358,0.001268
359,0.001359
360,0.00145
361,0.00154
362,0.001631
363,0.001721
364,0.001812
365,0.001903
366,0.001993
367,0.002084
368,0.002174
369,0.002265
370,0.002356
371,0.002446
372,0.002537
373,0.002627
374,0.002718
375,0.002809
376,0.002899
377,0.00299
378,0.00308
379,0.003171
380,0.003262
381,0.003352
382,0.003488
383,0.003624
384,0.00376
385,0.003896
386,0.004032
387,0.004168
388,0.004304
389,0.004439
390,0.004575
391,0.004711
392,0.004847
393,0.004983
394,0.005119
395,0.005255
396,0.005391
397,0.005527
398,0.005663
399,0.005798
400,0.0059
401,0.006
402,0.0061
403,0.0063
404,0.0065
405,0.0066
406,0.0067
407,0.00685
408,0.007
409,0.0072
410,0.0074
411,0.0076
412,0.0078
413,0.008
414,0.0082
415,0.00845
416,0.0087
417,0.00895
418,0.0092
419,0.00945
420,0.0097
421,0.00995
422,0.0102
423,0.0105
424,0.0108
425,0.01105
426,0.0113
427,0.01165
428,0.012
429,0.01235
430,0.0127
431,0.0131
432,0.0135
433,0.0139
434,0.0143
435,0.0147
436,0.0151
437,0.01555
438,0.016
439,0.0164
440,0.0168
441,0.01725
442,0.0177
443,0.0181
444,0.0185
445,0.01895
446,0.0194
447,0.01985
448,0.0203
449,0.02075
450,0.0212
451,0.02165
452,0.0223
453,0.0228
454,0.0233
455,0.0238
456,0.0243
457,0.0248
458,0.0253
459,0.0258
460,0.0263
461,0.02675
462,0.0272
463,0.0276
464,0.028
465,0.0284
466,0.0288
467,0.0292
468,0.0296
469,0.03
470,0.0304
471,0.0307
472,0.031
473,0.03145
474,0.0319
475,0.0323
476,0.0327
477,0.03315
478,0.0336
479,0.03405
480,0.0345
481,0.0349
482,0.0353
483,0.03565
484,0.036
485,0.0362
486,0.0364
487,0.03655
488,0.0367
489,0.03675
490,0.0368
491,0.03675
492,0.0367
493,0.0366
494,0.0365
495,0.0363
496,0.0361
497,0.03595
498,0.0358
499,0.0356
500,0.0354
501,0.03525
502,0.0351
503,0.035
504,0.0349
505,0.03485
506,0.0348
507,0.0347
508,0.0346
509,0.0345
510,0.0344
511,0.0343
512,0.0342
513,0.03395
514,0.0337
515,0.03335
516,0.033
517,0.03255
518,0.0321
519,0.03155
520,0.031
521,0.03035
522,0.0297
523,0.029
524,0.0283
525,0.02755
526,0.0268
527,0.02605
528,0.0253
529,0.0245
530,0.0237
531,0.02295
532,0.0222
533,0.0214
534,0.0206
535,0.01985
536,0.0191
537,0.0184
538,0.0177
539,0.017
540,0.0163
541,0.01565
542,0.015
543,0.01435
544,0.0137
545,0.0131
546,0.0125
547,0.01195
548,0.0114
549,0.0109
550,0.0104
551,0.0099
552,0.0094
553,0.0089
554,0.0084
555,0.008
556,0.0076
557,0.00725
558,0.0069
559,0.0065
560,0.0061
561,0.0058
562,0.0055
563,0.00515
564,0.0048
565,0.00455
566,0.0043
567,0.0041
568,0.0039
569,0.00365
570,0.0034
571,0.00325
572,0.0031
573,0.0029
574,0.0027
575,0.00255
576,0.0024
577,0.0023
578,0.0022
579,0.00205
580,0.0019
581,0.0018
582,0.0017
583,0.0016
584,0.0015
585,0.0014
586,0.0013
587,0.00125
588,0.0012
589,0.0011
590,0.001
591,0.00095
592,0.0009
593,0.00085
594,0.0008
595,0.00075
596,0.0007
597,0.00065
598,0.0006
599,0.0006
600,0.0006
601,0.0005
602,0.0004
603,0.0004
604,0.0004
605,0.0004
606,0.0004
607,0.00045
608,0.0003
609,0.00035
610,0.0002
611,0.00025
612,0.0001
613,0.0001
614,0.0001
615,0.0001
616,0.0001
617,0.00005
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
