"Wavelength, µm",n,k
0.4,1.3194,2.71E-09
0.41,1.3185,2.51E-09
0.42,1.3177,2.26E-09
0.43,1.317,2.08E-09
0.44,1.3163,1.91E-09
0.45,1.3157,1.54E-09
0.46,1.3151,1.53E-09
0.47,1.3145,1.55E-09
0.48,1.314,1.64E-09
0.49,1.3135,1.78E-09
0.5,1.313,1.91E-09
0.51,1.3126,2.14E-09
0.52,1.3122,2.26E-09
0.53,1.3118,2.54E-09
0.54,1.3114,2.93E-09
0.55,1.311,3.11E-09
0.56,1.3106,3.29E-09
0.57,1.3103,3.52E-09
0.58,1.31,4.04E-09
0.59,1.3097,4.88E-09
0.6,1.3094,5.73E-09
0.61,1.3091,6.89E-09
0.62,1.3088,8.58E-09
0.63,1.3085,1.04E-08
0.64,1.3083,1.22E-08
0.65,1.308,1.43E-08
0.66,1.3078,1.66E-08
0.67,1.3076,1.89E-08
0.68,1.3073,2.09E-08
0.69,1.3071,2.40E-08
0.7,1.3069,2.90E-08
0.71,1.3067,3.44E-08
0.72,1.3065,4.03E-08
0.73,1.3062,4.30E-08
0.74,1.306,4.92E-08
0.75,1.3058,5.87E-08
0.76,1.3057,7.08E-08
0.77,1.3055,8.58E-08
0.78,1.3053,1.02E-07
0.79,1.3051,1.18E-07
0.8,1.3049,1.34E-07
0.81,1.3047,1.40E-07
0.82,1.3045,1.43E-07
0.83,1.3044,1.45E-07
0.84,1.3042,1.51E-07
0.85,1.304,1.83E-07
0.86,1.3038,2.15E-07
0.87,1.3037,2.65E-07
0.88,1.3035,3.35E-07
0.89,1.3033,3.92E-07
0.9,1.3032,4.20E-07
0.91,1.303,4.44E-07
0.92,1.3028,4.74E-07
0.93,1.3027,5.11E-07
0.94,1.3025,5.53E-07
0.95,1.3023,6.02E-07
0.96,1.3022,7.55E-07
0.97,1.302,9.26E-07
0.98,1.3018,0.00000112
0.99,1.3017,0.00000133
1,1.3015,0.00000162
1.01,1.3013,0.000002
1.02,1.3012,0.00000225
1.03,1.301,0.00000233
1.04,1.3008,0.00000233
1.05,1.3006,0.00000217
1.06,1.3005,0.00000196
1.07,1.3003,0.00000181
1.08,1.3001,0.00000174
1.09,1.3,0.00000173
1.1,1.2998,0.0000017
1.11,1.2996,0.00000176
1.12,1.2995,0.00000182
1.13,1.2993,0.00000204
1.14,1.2991,0.00000225
1.15,1.2989,0.00000229
1.16,1.2987,0.00000304
1.17,1.2985,0.00000384
1.18,1.2984,0.00000477
1.19,1.2982,0.00000576
1.2,1.298,0.00000671
1.21,1.2978,0.00000866
1.22,1.2976,0.0000102
1.23,1.2974,0.0000113
1.24,1.2972,0.0000122
1.25,1.297,0.0000129
1.26,1.2969,0.0000132
1.27,1.2967,0.0000135
1.28,1.2965,0.0000133
1.29,1.2963,0.0000132
1.3,1.2961,0.0000132
1.31,1.2958,0.0000131
1.32,1.2956,0.0000132
1.33,1.2954,0.0000132
1.34,1.2952,0.0000134
1.35,1.295,0.0000139
1.36,1.2948,0.0000142
1.37,1.2945,0.0000148
1.38,1.2943,0.0000158
1.39,1.2941,0.0000174
1.4,1.2938,0.0000198
1.41,1.2936,0.000025
1.42,1.2933,0.000054
1.43,1.293,0.000104
1.44,1.2927,0.000203
1.449,1.2925,0.0002708
1.46,1.2923,0.0003511
1.471,1.2921,0.0004299
1.481,1.2919,0.0005181
1.493,1.2917,0.0005855
1.504,1.2915,0.0005899
1.515,1.2913,0.0005635
1.527,1.2911,0.000548
1.538,1.2908,0.0005266
1.563,1.2903,0.0004394
1.587,1.2896,0.0003701
1.613,1.2889,0.0003372
1.65,1.2878,0.000241
1.68,1.2869,0.000189
1.7,1.2862,0.000166
1.73,1.2852,0.000145
1.76,1.2841,0.000128
1.8,1.2826,0.000103
1.83,1.2814,0.000086
1.84,1.2809,0.0000822
1.85,1.2805,0.0000803
1.855,1.2802,0.000085
1.86,1.28,0.000099
1.87,1.2795,0.00015
1.89,1.2785,0.000295
1.905,1.2777,0.0004687
1.923,1.2769,0.0007615
1.942,1.2761,0.00101
1.961,1.2754,0.001313
1.98,1.2747,0.001539
2,1.274,0.001588
2.02,1.2733,0.00154
2.041,1.2724,0.001412
2.062,1.2714,0.001244
2.083,1.2703,0.001068
2.105,1.269,0.0008414
2.13,1.2674,0.000565
2.15,1.2659,0.000432
2.17,1.2644,0.00035
2.19,1.2628,0.000287
2.22,1.2604,0.000221
2.24,1.2586,0.000203
2.245,1.2582,0.000201
2.25,1.2577,0.000203
2.26,1.2567,0.000214
2.27,1.2558,0.000232
2.29,1.2538,0.000289
2.31,1.2518,0.000381
2.33,1.2497,0.000462
2.35,1.2475,0.000548
2.37,1.2451,0.000618
2.39,1.2427,0.00068
2.41,1.24,0.00073
2.43,1.2373,0.000782
2.46,1.2327,0.000848
2.5,1.2258,0.000925
