WL,n,k
0.3,1.3339,2E-11
0.35,1.3249,2E-11
0.39,1.3203,2E-11
0.4,1.3194,2.365E-11
0.41,1.3185,2.669E-11
0.42,1.3177,3.135E-11
0.43,1.317,4.14E-11
0.44,1.3163,6.268E-11
0.45,1.3157,9.239E-11
0.46,1.3151,1.325E-10
0.47,1.3145,1.956E-10
0.48,1.314,2.861E-10
0.49,1.3135,4.172E-10
0.5,1.313,5.889E-10
0.51,1.3126,8.036E-10
0.52,1.3121,1.076E-09
0.53,1.3117,1.409E-09
0.54,1.3114,1.813E-09
0.55,1.311,2.289E-09
0.56,1.3106,2.839E-09
0.57,1.3103,3.461E-09
0.58,1.31,4.159E-09
0.59,1.3097,4.93E-09
0.6,1.3094,5.73E-09
0.61,1.3091,6.89E-09
0.62,1.3088,8.58E-09
0.63,1.3085,1.04E-08
0.64,1.3083,1.22E-08
0.65,1.308,1.43E-08
0.66,1.3078,1.66E-08
0.67,1.3076,1.89E-08
0.68,1.3073,2.09E-08
0.69,1.3071,0.000000024
0.7,1.3069,0.000000029
0.71,1.3067,3.44E-08
0.72,1.3065,4.03E-08
0.73,1.3062,0.000000043
0.74,1.306,4.92E-08
0.75,1.3059,5.87E-08
0.76,1.3057,7.08E-08
0.77,1.3055,8.58E-08
0.78,1.3053,0.000000102
0.79,1.3051,0.000000118
0.8,1.3049,0.000000134
0.81,1.3047,0.00000014
0.82,1.3046,0.000000143
0.83,1.3044,0.000000145
0.84,1.3042,0.000000151
0.85,1.304,0.000000183
0.86,1.3039,0.000000215
0.87,1.3037,0.000000265
0.88,1.3035,0.000000335
0.89,1.3033,0.000000392
0.9,1.3032,0.00000042
0.91,1.303,0.000000444
0.92,1.3028,0.000000474
0.93,1.3027,0.000000511
0.94,1.3025,0.000000553
0.95,1.3023,0.000000602
0.96,1.3022,0.000000755
0.97,1.302,0.000000926
0.98,1.3019,0.00000112
0.99,1.3017,0.00000133
1,1.3015,0.00000162
1.01,1.3014,0.000002
1.02,1.3012,0.00000225
1.03,1.301,0.00000233
1.04,1.3009,0.00000233
1.05,1.3007,0.00000217
1.06,1.3005,0.00000196
1.07,1.3003,0.00000181
1.08,1.3002,0.00000174
1.09,1.3,0.00000173
1.1,1.2998,0.0000017
1.11,1.2997,0.00000176
1.12,1.2995,0.00000182
1.13,1.2993,0.00000204
