wl,n,k
4.00E-01,1.349793,1.58E-09
4.05E-01,1.349159,1.49E-09
4.10E-01,1.348417,1.42E-09
4.15E-01,1.347811,1.34E-09
4.20E-01,1.347219,1.26E-09
4.25E-01,1.346636,1.17E-09
4.30E-01,1.346066,1.09E-09
4.35E-01,1.345505,1.02E-09
4.40E-01,1.344956,9.39E-10
4.45E-01,1.344418,8.69E-10
4.50E-01,1.343889,8.09E-10
4.55E-01,1.343368,7.79E-10
4.60E-01,1.342858,7.60E-10
4.65E-01,1.342455,7.50E-10
4.70E-01,1.341961,7.29E-10
4.75E-01,1.341475,7.01E-10
4.80E-01,1.341093,7.09E-10
4.85E-01,1.34062,7.16E-10
4.90E-01,1.340248,7.34E-10
4.95E-01,1.339791,7.85E-10
5.00E-01,1.33943,9.24E-10
5.05E-01,1.339073,1.08E-09
5.11E-01,1.338635,1.27E-09
5.15E-01,1.338288,1.46E-09
5.20E-01,1.337944,1.57E-09
5.25E-01,1.337607,1.64E-09
5.30E-01,1.337273,1.76E-09
5.35E-01,1.336943,1.89E-09
5.40E-01,1.336615,2.10E-09
5.45E-01,1.336292,2.27E-09
5.50E-01,1.335972,2.44E-09
5.55E-01,1.335656,2.66E-09
5.60E-01,1.335344,2.87E-09
5.65E-01,1.335035,3.13E-09
5.70E-01,1.334729,3.43E-09
5.75E-01,1.334425,3.84E-09
5.79E-01,1.3342,4.43E-09
5.85E-01,1.333902,5.22E-09
5.90E-01,1.333609,6.36E-09
5.96E-01,1.333316,7.72E-09
6.00E-01,1.3331,9.63E-09
6.05E-01,1.332813,1.13E-08
6.10E-01,1.332598,1.24E-08
6.15E-01,1.332317,1.33E-08
6.19E-01,1.332106,1.40E-08
6.25E-01,1.331826,1.47E-08
6.30E-01,1.331619,1.50E-08
6.35E-01,1.331345,1.55E-08
6.40E-01,1.331144,1.57E-08
6.46E-01,1.330877,1.61E-08
6.50E-01,1.330683,1.67E-08
6.55E-01,1.33049,1.78E-08
6.61E-01,1.330238,1.94E-08
6.65E-01,1.330052,2.03E-08
6.70E-01,1.329869,2.10E-08
6.75E-01,1.32969,2.18E-08
6.81E-01,1.329452,2.30E-08
6.85E-01,1.329278,2.47E-08
6.90E-01,1.329106,2.65E-08
6.95E-01,1.328938,2.96E-08
7.00E-01,1.328769,3.35E-08
7.05E-01,1.328603,4.10E-08
7.10E-01,1.32844,5.00E-08
7.14E-01,1.328279,6.00E-08
7.19E-01,1.32812,7.29E-08
7.24E-01,1.327963,9.14E-08
7.29E-01,1.327808,1.15E-07
7.35E-01,1.327652,1.35E-07
7.40E-01,1.327502,1.46E-07
7.45E-01,1.32735,1.53E-07
7.50E-01,1.327201,1.56E-07
7.55E-01,1.327055,1.58E-07
7.60E-01,1.326909,1.58E-07
7.66E-01,1.326764,1.57E-07
7.69E-01,1.326667,1.53E-07
7.74E-01,1.326524,1.48E-07
7.80E-01,1.326382,1.41E-07
7.85E-01,1.326244,1.34E-07
7.91E-01,1.326104,1.28E-07
7.94E-01,1.326012,1.26E-07
8.00E-01,1.325874,1.25E-07
8.05E-01,1.325739,1.27E-07
8.09E-01,1.325648,1.33E-07
8.15E-01,1.325512,1.45E-07
8.20E-01,1.325379,1.62E-07
8.24E-01,1.32529,1.82E-07
8.30E-01,1.325157,2.04E-07
8.36E-01,1.325025,2.24E-07
8.39E-01,1.324937,2.46E-07
8.45E-01,1.324805,2.69E-07
8.49E-01,1.324718,2.93E-07
8.55E-01,1.32459,3.15E-07
8.59E-01,1.324502,3.35E-07
8.65E-01,1.324373,3.55E-07
8.71E-01,1.324244,3.75E-07
8.75E-01,1.324159,3.91E-07
8.79E-01,1.324074,4.05E-07
8.85E-01,1.323946,4.23E-07
8.89E-01,1.323859,4.40E-07
8.95E-01,1.323732,4.62E-07
8.99E-01,1.323648,4.86E-07
9.06E-01,1.32352,5.15E-07
9.10E-01,1.323434,5.70E-07
9.14E-01,1.323351,6.70E-07
9.20E-01,1.323222,8.30E-07
9.25E-01,1.323138,1.06E-06
9.29E-01,1.323054,1.37E-06
9.35E-01,1.322926,1.77E-06
9.40E-01,1.322842,2.17E-06
9.44E-01,1.322757,2.56E-06
9.51E-01,1.32263,2.93E-06
9.55E-01,1.322546,3.19E-06
9.59E-01,1.322462,3.36E-06
9.66E-01,1.322333,3.46E-06
9.71E-01,1.322249,3.50E-06
9.75E-01,1.322165,3.48E-06
9.79E-01,1.32208,3.42E-06
9.84E-01,1.321994,3.34E-06
9.91E-01,1.321866,3.25E-06
9.95E-01,1.32178,3.13E-06
1.00E+00,1.321695,3.00E-06
1.01E+00,1.321521,2.69E-06
1.02E+00,1.321303,2.35E-06
1.03E+00,1.321128,2.00E-06
1.04E+00,1.320952,1.69E-06
1.05E+00,1.320775,1.42E-06
1.06E+00,1.320596,1.30E-06
1.07E+00,1.320416,1.26E-06
1.08E+00,1.320233,1.33E-06
1.09E+00,1.320051,1.50E-06
1.10E+00,1.319865,1.71E-06
1.11E+00,1.319678,2.04E-06
1.12E+00,1.319488,2.63E-06
1.13E+00,1.319296,3.87E-06
1.14E+00,1.319103,5.95E-06
1.15E+00,1.318909,9.31E-06
1.16E+00,1.318763,1.07E-05
1.17E+00,1.318566,1.12E-05
1.18E+00,1.318366,1.16E-05
1.19E+00,1.318162,1.18E-05
1.20E+00,1.318008,1.20E-05
1.21E+00,1.317799,1.19E-05
1.22E+00,1.317641,1.18E-05
1.23E+00,1.317427,1.16E-05
1.24E+00,1.317263,1.14E-05
1.25E+00,1.317042,1.10E-05
1.26E+00,1.316873,1.08E-05
1.27E+00,1.316645,1.09E-05
1.28E+00,1.31647,1.14E-05
1.29E+00,1.316233,1.22E-05
1.30E+00,1.316052,1.40E-05
1.31E+00,1.315868,1.64E-05
1.32E+00,1.315618,1.91E-05
1.33E+00,1.315425,2.25E-05
1.34E+00,1.315228,2.85E-05
1.35E+00,1.315031,4.05E-05
1.36E+00,1.31476,4.50E-05
1.37E+00,1.314547,5.80E-05
1.38E+00,1.314329,7.80E-05
1.39E+00,1.314104,1.06E-04
1.40E+00,1.313871,1.53E-04
1.41E+00,1.313671,2.54E-04
1.42E+00,1.313518,3.20E-04
1.43E+00,1.313373,3.54E-04
1.44E+00,1.31322,3.63E-04
1.45E+00,1.313055,3.64E-04
1.46E+00,1.312888,3.60E-04
1.47E+00,1.312715,3.39E-04
1.48E+00,1.312525,3.02E-04
1.49E+00,1.312318,2.66E-04
1.50E+00,1.312093,2.25E-04
1.51E+00,1.311852,1.96E-04
1.52E+00,1.311604,1.74E-04
1.53E+00,1.311352,1.60E-04
1.54E+00,1.311097,1.44E-04
1.55E+00,1.310923,1.35E-04
1.56E+00,1.310659,1.24E-04
1.57E+00,1.310387,1.14E-04
1.58E+00,1.310114,1.07E-04
1.59E+00,1.309928,9.94E-05
1.60E+00,1.309642,9.35E-05
1.61E+00,1.309352,8.80E-05
1.62E+00,1.309055,8.31E-05
1.63E+00,1.308855,8.10E-05
1.64E+00,1.308548,7.90E-05
1.65E+00,1.308341,7.59E-05
1.66E+00,1.308021,7.40E-05
1.67E+00,1.307672,7.40E-05
1.68E+00,1.307435,7.50E-05
1.69E+00,1.307073,7.60E-05
1.70E+00,1.306829,7.74E-05
1.71E+00,1.306453,8.05E-05
1.72E+00,1.30607,8.41E-05
1.73E+00,1.305809,8.90E-05
1.74E+00,1.305413,9.51E-05
1.75E+00,1.305142,1.00E-04
1.76E+00,1.304727,1.05E-04
1.77E+00,1.304442,1.12E-04
1.78E+00,1.304155,1.22E-04
1.79E+00,1.303718,1.33E-04
1.80E+00,1.303418,1.36E-04
1.81E+00,1.302947,1.37E-04
1.82E+00,1.302616,1.38E-04
1.83E+00,1.302269,1.42E-04
1.84E+00,1.301709,1.55E-04
1.85E+00,1.301291,1.86E-04
1.86E+00,1.300633,3.20E-04
1.87E+00,1.300214,5.21E-04
1.88E+00,1.29986,7.22E-04
1.89E+00,1.299545,9.22E-04
1.90E+00,1.298998,1.16E-03
1.91E+00,1.298791,1.68E-03
1.92E+00,1.298793,1.83E-03
1.93E+00,1.298681,1.92E-03
1.94E+00,1.29859,1.91E-03
1.95E+00,1.298472,1.85E-03
1.96E+00,1.298308,1.72E-03
1.97E+00,1.298051,1.55E-03
1.98E+00,1.297607,1.40E-03
1.99E+00,1.297292,1.25E-03
2.00E+00,1.296913,1.10E-03
2.01E+00,1.296499,9.90E-04
2.02E+00,1.296066,8.89E-04
2.03E+00,1.295606,8.05E-04
2.04E+00,1.294919,7.39E-04
2.05E+00,1.294457,6.74E-04
2.06E+00,1.293973,6.21E-04
2.07E+00,1.293476,5.73E-04
2.08E+00,1.292966,5.29E-04
2.09E+00,1.292438,4.88E-04
2.10E+00,1.291899,4.64E-04
2.11E+00,1.291353,4.40E-04
2.12E+00,1.290795,4.18E-04
2.13E+00,1.290221,3.97E-04
2.14E+00,1.289634,3.83E-04
2.15E+00,1.289033,3.71E-04
2.16E+00,1.288418,3.59E-04
2.17E+00,1.287787,3.51E-04
2.18E+00,1.287139,3.43E-04
2.19E+00,1.286474,3.39E-04
2.20E+00,1.28579,3.38E-04
2.21E+00,1.285087,3.39E-04
2.22E+00,1.284365,3.41E-04
2.23E+00,1.283619,3.46E-04
2.24E+00,1.282852,3.57E-04
2.25E+00,1.282064,3.74E-04
2.26E+00,1.281256,3.90E-04
2.27E+00,1.280421,4.08E-04
2.28E+00,1.279561,4.29E-04
2.29E+00,1.278675,4.51E-04
2.30E+00,1.277755,4.69E-04
2.31E+00,1.276797,4.92E-04
2.32E+00,1.276305,5.11E-04
2.33E+00,1.275295,5.43E-04
2.34E+00,1.274257,6.00E-04
2.35E+00,1.273184,6.36E-04
2.36E+00,1.272062,6.85E-04
2.37E+00,1.270902,7.43E-04
2.38E+00,1.269682,7.92E-04
2.39E+00,1.269059,8.49E-04
2.40E+00,1.267787,9.09E-04
2.41E+00,1.26645,9.90E-04
2.42E+00,1.265059,1.07E-03
2.43E+00,1.263577,1.15E-03
2.44E+00,1.262824,1.25E-03
2.45E+00,1.261297,1.35E-03
2.46E+00,1.259683,1.47E-03
2.47E+00,1.257969,1.58E-03
2.48E+00,1.257102,1.71E-03
2.49E+00,1.255347,1.81E-03
2.50E+00,1.253465,1.90E-03
