WL (nm),MAC (m2/mg)
350,0.0085
351,0.008752
352,0.009005
353,0.009257
354,0.009509
355,0.009761
356,0.010014
357,0.010266
358,0.010518
359,0.01077
360,0.011023
361,0.011275
362,0.011527
363,0.011779
364,0.012032
365,0.012284
366,0.012536
367,0.012788
368,0.013041
369,0.013293
370,0.013545
371,0.0137
372,0.013855
373,0.014009
374,0.014164
375,0.014319
376,0.014474
377,0.014622
378,0.014783
379,0.014938
380,0.015093
381,0.015176
382,0.015259
383,0.015342
384,0.015426
385,0.015509
386,0.015592
387,0.015675
388,0.01571
389,0.01575
390,0.01579
391,0.01591
392,0.016
393,0.01608
394,0.01616
395,0.01626
396,0.01636
397,0.01647
398,0.0166
399,0.01675
400,0.0169
401,0.0171
402,0.0173
403,0.0176
404,0.0179
405,0.0182
406,0.0185
407,0.0188
408,0.0191
409,0.0194
410,0.0197
411,0.020028
412,0.02057
413,0.021044
414,0.02151
415,0.02185
416,0.022184
417,0.022336
418,0.022485
419,0.022633
420,0.022781
421,0.02293
422,0.022947
423,0.022964
424,0.022981
425,0.022998
426,0.023015
427,0.023032
428,0.023049
429,0.023066
430,0.023083
431,0.0231
432,0.0233
433,0.0236
434,0.023931
435,0.024693
436,0.025441
437,0.025972
438,0.026492
439,0.026497
440,0.0265
441,0.026
442,0.0255
443,0.0242
444,0.0229
445,0.0211
446,0.0193
447,0.0172
448,0.0151
449,0.0131
450,0.0111
451,0.0094
452,0.0077
453,0.00645
454,0.0052
455,0.0043
456,0.0034
457,0.0028
458,0.0022
459,0.00185
460,0.0015
461,0.00125
462,0.001
463,0.00085
464,0.0007
465,0.00065
466,0.0006
467,0.00055
468,0.0005
469,0.00045
470,0.0004
471,0.0004
472,0.0004
473,0.00035
474,0.0003
475,0.0003
476,0.0003
477,0.0003
478,0.0003
479,0.0003
480,0.0003
481,0.0003
482,0.0003
483,0.0003
484,0.0003
485,0.0003
486,0.0003
487,0.0003
488,0.0003
489,0.0003
490,0.0003
491,0.0003
492,0.0003
493,0.00035
494,0.0004
495,0.0004
496,0.0004
497,0.0004
498,0.00041
499,0.00043
500,0.00046
501,0.000515
502,0.000572
503,0.000572
504,0.000572
505,0.000572
506,0.000572
507,0.000572
508,0.000572
509,0.000572
510,0.000572
511,0.000606
512,0.000652
513,0.000709
514,0.000766
515,0.000824
516,0.000892
517,0.00095
518,0.000995
519,0.00103
520,0.00103
521,0.000972
522,0.000915
523,0.000915
524,0.000915
525,0.000915
526,0.000915
527,0.000915
528,0.000915
529,0.000972
530,0.00103
531,0.00103
532,0.00103
533,0.00103
534,0.00103
535,0.001087
536,0.001144
537,0.001144
538,0.001144
539,0.001201
540,0.001258
541,0.001258
542,0.001258
543,0.001316
544,0.001373
545,0.00143
546,0.001487
547,0.001487
548,0.001487
549,0.001544
550,0.001544
551,0.001544
552,0.001544
553,0.001544
554,0.001544
555,0.001544
556,0.001544
557,0.001544
558,0.001544
559,0.001544
560,0.001544
561,0.001544
562,0.001544
563,0.001544
564,0.001544
565,0.001544
566,0.001544
567,0.001544
568,0.001544
569,0.001544
570,0.001544
571,0.001579
572,0.001647
573,0.001716
574,0.001785
575,0.001853
576,0.001922
577,0.002059
578,0.002196
579,0.002265
580,0.002334
581,0.002402
582,0.002471
583,0.002608
584,0.002746
585,0.002814
586,0.002883
587,0.002952
588,0.00302
589,0.00302
590,0.00302
591,0.003089
592,0.003157
593,0.003157
594,0.003157
595,0.003157
596,0.003157
597,0.00316
598,0.003165
599,0.00317
600,0.003175
601,0.00318
602,0.003185
603,0.00319
604,0.003195
605,0.0032
606,0.00321
607,0.00322
608,0.00325
609,0.0033
610,0.00338
611,0.00347
612,0.003569
613,0.003775
614,0.003981
615,0.004118
616,0.004256
617,0.004462
618,0.004668
619,0.004805
620,0.004942
621,0.005079
622,0.005217
623,0.005354
624,0.005491
625,0.00556
626,0.005628
627,0.005628
628,0.005628
629,0.005628
630,0.005628
631,0.00556
632,0.005491
633,0.005423
634,0.005354
635,0.005285
636,0.005217
637,0.005079
638,0.004942
639,0.00486
640,0.00479
641,0.00472
642,0.00465
643,0.00458
644,0.00451
645,0.00445
646,0.0044
647,0.00436
648,0.00433
649,0.00431
650,0.00432
651,0.00435
652,0.00439
653,0.00444
654,0.0045
655,0.0047
656,0.00504
657,0.00564
658,0.00624
659,0.00708
660,0.00792
661,0.00888
662,0.00984
663,0.01128
664,0.01272
665,0.01458
666,0.01644
667,0.01752
668,0.0186
669,0.02022
670,0.02184
671,0.02268
672,0.02352
673,0.024
674,0.02436
675,0.02442
676,0.02412
677,0.02355
678,0.02298
679,0.02202
680,0.02067
681,0.01935
682,0.0177
683,0.01617
684,0.01467
685,0.01302
686,0.01149
687,0.01026
688,0.00888
689,0.007782
690,0.006648
691,0.005544
692,0.0045
693,0.0035
694,0.0029
695,0.0022
696,0.0017
697,0.0014
698,0.0012
699,0.00108
700,0.00096
701,0.00084
702,0.00072
703,0.00066
704,0.0006
705,0.00057
706,0.00054
707,0.00051
708,0.00048
709,0.00045
710,0.00042
711,0.00039
712,0.00036
713,0.00034
714,0.00032
715,0.0003
716,0.00028
717,0.00026
718,0.00024
719,0.00022
720,0.0002
721,0.00019
722,0.00018
723,0.00017
724,0.00016
725,0.00015
726,0.00014
727,0.00013
728,0.00012
729,0.00011
730,0.0001
731,0.00009
732,0.00008
733,0.00007
734,0.00006
735,0.00005
736,0.00004
737,0.00003
738,0.00002
739,0.00001
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
,0
