wvl,BRA,BRB,BRC,HE1A,HE2A,HE2B,HE2C,MIT1A,MIT1B,MIT1C,MIT2A,MIT2B,MIT2C,MIT3A,MIT3B,MIT3C,MIT4A,MIT4B,MIT4C,MIT5A,MIT5B,MIT5C
200,0.017374077,0.014492356,0.032857352,0.03088673,0.190985629,0.025139721,0.030327315,0.209368346,0.069600375,0.2065777,0.021484183,0.04243925,0.048167924,0.021444191,0.026185724,0.021158424,0.03965416,0.011995105,0.014598745,0.038105593,0.018654238,0.012724084
203,0.015154654,0.014803949,0.026644827,0.026147944,0.144052838,0.021831863,0.025038545,0.181312988,0.066946826,0.162029851,0.031117834,0.053595704,0.054810989,0.01834146,0.021510175,0.018447373,0.039713389,0.01342155,0.013480068,0.032869833,0.017246732,0.013909395
206,0.013795623,0.014399542,0.023089883,0.022678475,0.118359704,0.019916787,0.02178973,0.150242725,0.068577653,0.131882353,0.038012985,0.062341967,0.061864964,0.016534807,0.018622726,0.016551676,0.039402434,0.014093511,0.012566481,0.028421149,0.001595386,0.01249488
209,0.012808127,0.013179691,0.020673901,0.020012908,0.101230948,0.018454366,0.019598668,0.130394606,0.062745374,0.113959614,0.040702583,0.067038113,0.064147804,0.015297642,0.016927342,0.01534903,0.040809135,0.014028673,0.011951208,0.024278649,0.004824372,0.01180072
212,0.012397484,0.01248358,0.01877563,0.018320485,0.087870518,0.01734014,0.01805737,0.113645138,0.061059264,0.101113257,0.04446802,0.068628343,0.06962662,0.01443359,0.01569554,0.014492909,0.035685782,0.01523113,0.011615605,0.02184358,0.00619685,0.0114078
215,0.012182386,0.012344358,0.017360555,0.017347341,0.077079402,0.016469651,0.017105391,0.101669269,0.057880534,0.090753292,0.046081779,0.070541588,0.066613271,0.013942652,0.014993546,0.014085232,0.031169532,0.015785204,0.011634249,0.020071311,0.007196753,0.011460189
218,0.01206506,0.012052655,0.01611805,0.016458819,0.065774423,0.015703621,0.016032527,0.086259759,0.049394706,0.078735733,0.040083161,0.060155401,0.055632811,0.013432076,0.014265061,0.013779475,0.026445978,0.014859783,0.011690183,0.018450333,0.007865478,0.011296472
221,0.011986842,0.011568692,0.015082629,0.015697228,0.056011032,0.015076869,0.01511077,0.073530163,0.04242914,0.068375768,0.036643735,0.05419204,0.049743084,0.013098238,0.01385446,0.013534868,0.023647384,0.014264449,0.011746117,0.017247207,0.008317663,0.011296472
224,0.011898847,0.0114361,0.014392348,0.015147191,0.048474379,0.014659034,0.014461007,0.064317956,0.038448817,0.060605795,0.035926509,0.05121036,0.04723196,0.012941137,0.013589557,0.013371798,0.021766847,0.013893102,0.011857985,0.01660602,0.009015048,0.011276826
227,0.011967288,0.011568692,0.013840124,0.014681774,0.041622877,0.014276019,0.014022794,0.05728318,0.035739986,0.054493415,0.040017958,0.051856391,0.048807119,0.01284295,0.013430614,0.013269879,0.020745137,0.014447175,0.011951208,0.016216985,0.009753829,0.011433994
230,0.011908625,0.011568692,0.013564012,0.0143856,0.038710989,0.014101921,0.013781022,0.054100781,0.034440853,0.051799824,0.041044896,0.050440093,0.047985297,0.012744762,0.013298163,0.013127192,0.020138035,0.014464858,0.011913919,0.015972037,0.010381157,0.011473286
233,0.011801075,0.011469248,0.013322414,0.014131737,0.035970388,0.013962643,0.013584582,0.051337119,0.033197002,0.049417032,0.040376571,0.048800168,0.046432966,0.012607299,0.013125975,0.012923353,0.019471703,0.014293921,0.011820696,0.015647842,0.010871555,0.011394702
236,0.011556646,0.0112571,0.013046301,0.013750941,0.032887211,0.013788545,0.013373031,0.048070972,0.031676739,0.046516242,0.03760547,0.046017267,0.043921842,0.012371649,0.012847826,0.012576828,0.018509223,0.01371627,0.01159696,0.015186764,0.010893846,0.011217888
239,0.01126333,0.01109136,0.012839217,0.013327835,0.030831761,0.013718906,0.013237034,0.046228531,0.030819864,0.044858648,0.036562232,0.044849442,0.043419617,0.012096723,0.012582923,0.012209919,0.017842891,0.013339028,0.011298646,0.014826546,0.01081742,0.010969038
