HE2C,MIT3A,MIT3C,MIT1A,MIT1B,HE2A,MIT5C,MIT5A,MIT5B
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1.16809E-10,2.09375E-12,5.70746E-13,1.10355E-11,5.23396E-12,-1.27597E-11,3.73561E-13,3.73561E-13,4.2715E-12
1.23055E-10,2.17158E-12,5.72261E-13,1.16752E-11,6.16581E-12,-1.22788E-11,3.63244E-13,3.63244E-13,4.3703E-12
1.24622E-10,2.32029E-12,5.91334E-13,1.29217E-11,6.77558E-12,-1.21434E-11,3.48345E-13,3.48345E-13,4.2435E-12
1.24622E-10,2.25528E-12,5.84506E-13,1.61529E-11,6.80923E-12,-1.17989E-11,3.45712E-13,3.45712E-13,4.3224E-12
1.26552E-10,2.18779E-12,5.82383E-13,1.58454E-11,6.00917E-12,-1.22437E-11,3.51312E-13,3.51312E-13,4.1967E-12
1.23614E-10,2.15793E-12,5.81009E-13,1.52172E-11,5.64567E-12,-1.01049E-11,3.56717E-13,3.56717E-13,4.092E-12
1.22466E-10,2.27876E-12,6.49443E-13,1.28307E-11,5.10204E-12,-1.03832E-11,3.3651E-13,3.3651E-13,4.0708E-12
1.15993E-10,2.35004E-12,6.6287E-13,1.13707E-11,5.33052E-12,-1.12835E-11,3.29633E-13,3.29633E-13,4.24E-12
1.17859E-10,2.14418E-12,5.96005E-13,1.27762E-11,4.68912E-12,-1.28757E-11,3.42776E-13,3.42776E-13,4.2441E-12
1.13638E-10,2.08063E-12,5.37678E-13,1.29244E-11,5.32849E-12,-1.38661E-11,3.39462E-13,3.39462E-13,4.444E-12
1.12169E-10,1.95003E-12,4.9448E-13,1.24353E-11,4.24356E-12,-1.58444E-11,3.47362E-13,3.47362E-13,4.0924E-12
1.1851E-10,2.20393E-12,5.68278E-13,8.35766E-12,4.37512E-12,-1.64951E-11,3.44651E-13,3.44651E-13,4.1618E-12
1.22149E-10,2.33013E-12,5.61552E-13,8.84559E-12,3.83504E-12,-1.84797E-11,3.52337E-13,3.52337E-13,3.7084E-12
1.2523E-10,2.12791E-12,5.3232E-13,1.02929E-11,4.62685E-12,-1.28169E-11,3.62597E-13,3.62597E-13,4.0294E-12
1.20426E-10,1.81749E-12,4.9163E-13,1.05725E-11,4.99815E-12,-1.19612E-11,3.57179E-13,3.57179E-13,4.1911E-12
1.24612E-10,1.73748E-12,5.3625E-13,1.18769E-11,5.80245E-12,-8.86814E-12,3.66065E-13,3.66065E-13,4.3198E-12
1.25984E-10,1.92819E-12,5.84845E-13,1.02555E-11,6.18504E-12,-1.00682E-11,3.6587E-13,3.6587E-13,4.0425E-12
1.23235E-10,1.95784E-12,6.22194E-13,9.2366E-12,6.09579E-12,-1.35537E-11,3.68312E-13,3.68312E-13,4.5465E-12
1.14528E-10,1.97768E-12,5.14523E-13,5.41027E-12,4.95264E-12,-1.29177E-11,3.57027E-13,3.57027E-13,4.0347E-12
1.1127E-10,2.22268E-12,4.90741E-13,3.66558E-12,4.50114E-12,-1.40947E-11,3.44329E-13,3.44329E-13,4.4205E-12
1.11797E-10,2.3666E-12,5.07816E-13,7.22871E-12,4.07599E-12,-1.10328E-11,3.40845E-13,3.40845E-13,3.4133E-12
1.24087E-10,2.42667E-12,5.93299E-13,1.04085E-11,4.60556E-12,-1.16482E-11,3.52884E-13,3.52884E-13,4.0459E-12
1.27494E-10,2.54236E-12,6.68375E-13,1.23347E-11,4.67064E-12,-8.68047E-12,3.61378E-13,3.61378E-13,3.9533E-12
1.36275E-10,2.80506E-12,6.63072E-13,1.23277E-11,5.41602E-12,-2.34318E-12,3.69259E-13,3.69259E-13,4.8239E-12
1.37693E-10,2.96058E-12,7.22991E-13,1.74194E-11,6.02749E-12,6.51204E-12,4.14816E-13,4.14816E-13,4.8269E-12
1.58177E-10,3.29036E-12,8.71379E-13,2.46544E-11,7.37265E-12,1.91762E-11,4.87764E-13,4.87764E-13,4.8209E-12
1.80892E-10,3.61414E-12,1.07979E-12,3.13375E-11,8.09123E-12,2.92651E-11,5.74582E-13,5.74582E-13,5.23E-12
2.12579E-10,4.22677E-12,1.24316E-12,3.12724E-11,8.27175E-12,3.92654E-11,6.6079E-13,6.6079E-13,6.0578E-12
2.37826E-10,4.72197E-12,1.39687E-12,3.66344E-11,8.30063E-12,5.12525E-11,7.41776E-13,7.41776E-13,7.1644E-12
2.56332E-10,5.39701E-12,1.4772E-12,3.75904E-11,8.37902E-12,5.66189E-11,8.33537E-13,8.33537E-13,7.7142E-12
2.72237E-10,6.20179E-12,1.62709E-12,4.2496E-11,8.58557E-12,6.12957E-11,8.90617E-13,8.90617E-13,8.2002E-12
2.87176E-10,6.74674E-12,1.6585E-12,4.18272E-11,9.06344E-12,5.94137E-11,9.63742E-13,9.63742E-13,8.7749E-12
3.02025E-10,7.10331E-12,1.74051E-12,4.44236E-11,9.13775E-12,6.43471E-11,1.02049E-12,1.02049E-12,9.3593E-12
3.15E-10,7.29731E-12,1.78564E-12,4.55559E-11,9.59809E-12,6.72073E-11,1.07275E-12,1.07275E-12,1.0158E-11
3.19187E-10,7.56871E-12,1.84456E-12,4.5792E-11,9.15954E-12,7.02758E-11,1.07831E-12,1.07831E-12,1.0613E-11
3.26206E-10,8.02541E-12,1.90469E-12,4.51293E-11,9.10166E-12,7.22153E-11,1.09374E-12,1.09374E-12,1.0988E-11
3.30762E-10,8.38887E-12,1.96611E-12,4.47314E-11,8.94405E-12,7.28651E-11,1.12846E-12,1.12846E-12,1.0995E-11
3.38174E-10,8.63142E-12,1.977E-12,4.47866E-11,9.07964E-12,7.43443E-11,1.17233E-12,1.17233E-12,1.1082E-11
3.4103E-10,8.84256E-12,1.9888E-12,4.48083E-11,9.06092E-12,7.55466E-11,1.19594E-12,1.19594E-12,1.0911E-11
3.47685E-10,8.91213E-12,2.00606E-12,4.52279E-11,9.0572E-12,7.84305E-11,1.21016E-12,1.21016E-12,1.1229E-11
3.51579E-10,9.04979E-12,2.07172E-12,4.49908E-11,8.92043E-12,7.95113E-11,1.21709E-12,1.21709E-12,1.1413E-11
3.58017E-10,9.11245E-12,2.09002E-12,4.39268E-11,8.85764E-12,8.03323E-11,1.24179E-12,1.24179E-12,1.1741E-11
3.61646E-10,9.34627E-12,2.10223E-12,4.30766E-11,8.86208E-12,8.07587E-11,1.26663E-12,1.26663E-12,1.1872E-11
3.6937E-10,9.54617E-12,2.12688E-12,4.29961E-11,8.94839E-12,8.21595E-11,1.29934E-12,1.29934E-12,1.1998E-11
3.76472E-10,9.67317E-12,2.1791E-12,4.37333E-11,8.86715E-12,8.45192E-11,1.32792E-12,1.32792E-12,1.2144E-11
3.85251E-10,9.88473E-12,2.23208E-12,4.30371E-11,8.6487E-12,8.69969E-11,1.35399E-12,1.35399E-12,1.2366E-11
3.92619E-10,1.00954E-11,2.24745E-12,4.15194E-11,8.31662E-12,8.97154E-11,1.38358E-12,1.38358E-12,1.2484E-11
4.02711E-10,1.0245E-11,2.28235E-12,4.02193E-11,7.98902E-12,9.1491E-11,1.41284E-12,1.41284E-12,1.2771E-11
4.09108E-10,1.04898E-11,2.32258E-12,3.99002E-11,7.86385E-12,9.43121E-11,1.45225E-12,1.45225E-12,1.288E-11
4.19228E-10,1.06259E-11,2.37211E-12,3.96197E-11,7.72267E-12,9.61478E-11,1.48184E-12,1.48184E-12,1.3076E-11
4.27456E-10,1.09332E-11,2.40364E-12,3.93467E-11,7.71621E-12,9.87589E-11,1.51066E-12,1.51066E-12,1.3044E-11
4.39064E-10,1.10354E-11,2.44339E-12,3.89309E-11,7.66443E-12,1.0127E-10,1.53953E-12,1.53953E-12,1.312E-11
4.48501E-10,1.13281E-11,2.47705E-12,3.85108E-11,7.57072E-12,1.03411E-10,1.57497E-12,1.57497E-12,1.3146E-11
4.58413E-10,1.15327E-11,2.51825E-12,3.75687E-11,7.42102E-12,1.05377E-10,1.60133E-12,1.60133E-12,1.326E-11
4.69362E-10,1.18531E-11,2.53898E-12,3.63593E-11,7.14056E-12,1.07496E-10,1.62985E-12,1.62985E-12,1.3376E-11
4.81642E-10,1.20584E-11,2.56838E-12,3.62066E-11,6.95257E-12,1.10418E-10,1.66015E-12,1.66015E-12,1.3757E-11
4.89843E-10,1.2227E-11,2.59084E-12,3.58771E-11,6.76795E-12,1.13061E-10,1.69645E-12,1.69645E-12,1.37E-11
4.96715E-10,1.24326E-11,2.62357E-12,3.56787E-11,6.65499E-12,1.1481E-10,1.72161E-12,1.72161E-12,1.3974E-11
5.05067E-10,1.25969E-11,2.63749E-12,3.47109E-11,6.56008E-12,1.16162E-10,1.75074E-12,1.75074E-12,1.3847E-11
5.16999E-10,1.28716E-11,2.67138E-12,3.44369E-11,6.52483E-12,1.17735E-10,1.78052E-12,1.78052E-12,1.4121E-11
5.27585E-10,1.29437E-11,2.67809E-12,3.42279E-11,6.36995E-12,1.19406E-10,1.80935E-12,1.80935E-12,1.3836E-11
