Wavelength,13_7_S1,13_7_S2,13_7_S3,13_7_S4,13_7_S5,13_7_SB1,13_7_SB2,13_7_SB3,13_7_SB4,13_7_SB5,14_7_S1,14_7_S2,14_7_S3,14_7_S4,14_7_S5,14_7_SB1,14_7_SB2,14_7_SB3,14_7_SB4,14_7_SB5,14_7_SB6,14_7_SB7,14_7_SB8,14_7_SB9,14_7_SB10,15_7_S1,15_7_S2,15_7_S3,15_7_S4,15_7_SB1,15_7_SB2,15_7_SB3,15_7_SB4,15_7_SB5,17_7_SB1,17_7_SB2,20_7_SB1,20_7_SB2,20_7_SB3,20_7_SB4,21_7_S1,21_7_S2,21_7_S3,21_7_S4,21_7_S5,21_7_SB1,21_7_SB2,21_7_SB3,21_7_SB4,21_7_SB5,21_7_SB6,21_7_SB7,21_7_SB8,21_7_SB9,21_7_SB10,22_7_S1,22_7_S2,22_7_S3,22_7_S4,22_7_S5,22_7_SB1,22_7_SB2,22_7_SB3,22_7_SB4,22_7_SB5,22_7_SB6,22_7_SB7,23_7_S1,23_7_S2,23_7_S3,23_7_S4,23_7_S5,23_7_SB1,23_7_SB2,23_7_SB3,23_7_SB4,23_7_SB5,24_7_S1,24_7_S2,24_7_SB1,24_7_SB2,25_7_S1,25_7_S2,25_7_S3,25_7_S4,25_7_S5,RAIN2
350,0.446291541,0.360307349,0.552657446,0.67811911,0.270193683,0.416523966,0.289825214,0.565142862,0.260573183,0.674749674,0.396220009,0.506697352,0.513864788,0.688841481,0.274998339,0.243994353,0.421868777,0.366000784,0.218347883,0.287365385,0.691744339,0.502718408,0.766902791,0.332485769,0.283470712,0.470625448,0.453840923,0.534222264,0.72717261,0.615234196,0.36341153,0.261378761,0.420505826,0.640340562,0.841335141,0.859516231,0.442431295,0.458402625,0.415721603,0.524788519,0.428643018,0.598920652,0.357932301,0.723804242,0.380468625,0.202164321,0.302238608,0.588362684,0.411658683,0.411607692,0.366608535,0.291402439,0.358499676,0.559097018,0.292141948,0.433731708,0.540795691,0.289941398,0.699761094,0.332046763,0.355031673,0.418672635,0.4820373,0.262550567,0.280124813,0.442180513,0.422092904,0.390215003,0.453950454,0.271644167,0.674769528,0.334375196,0.624598978,0.600778727,0.263853166,0.312843901,0.289047954,0.319644921,0.357922418,0.419515016,0.249745547,0.349706864,0.331468768,0.419622495,0.370439916,0.33326097,0.1717
351,0.446530895,0.360227022,0.552669325,0.677978613,0.270328305,0.41699378,0.289909883,0.565230506,0.261064737,0.674834336,0.395920811,0.50677022,0.514229094,0.688729466,0.275509456,0.24478779,0.422275403,0.366435092,0.218728612,0.287309072,0.692062637,0.502874979,0.767341394,0.332691069,0.28356302,0.47038598,0.454149091,0.534433136,0.727315571,0.61528616,0.3634829,0.26154439,0.420707172,0.640414211,0.841014873,0.859276499,0.44246541,0.458473684,0.415960566,0.524714187,0.428512413,0.598894006,0.357894417,0.723561381,0.380587899,0.202174576,0.302232818,0.58825693,0.411826871,0.41175629,0.366700585,0.291637322,0.358671907,0.558931546,0.292167748,0.433809169,0.540770216,0.289996115,0.699657709,0.332283661,0.355049198,0.418510475,0.481884457,0.262427531,0.280379786,0.442346801,0.422299169,0.390305529,0.454383251,0.272138942,0.675020492,0.3346595,0.624762665,0.600885708,0.263910201,0.312886015,0.289231178,0.319686757,0.357996569,0.419791833,0.249604829,0.349752481,0.331836046,0.419774536,0.370477877,0.333448886,0.1714
352,0.446156374,0.360247807,0.552677379,0.677891289,0.27031211,0.417414685,0.290021498,0.565197753,0.261760081,0.675005065,0.395804657,0.507644387,0.514765563,0.688663392,0.276258247,0.245685635,0.422312998,0.366838078,0.219302475,0.287661575,0.692448684,0.502986386,0.76768557,0.33288911,0.283836621,0.470322413,0.45433492,0.53460207,0.727330099,0.61518147,0.363368009,0.261823951,0.420907397,0.640455974,0.840807993,0.859087519,0.442463278,0.458552995,0.416073119,0.524654055,0.428464604,0.598825677,0.357623284,0.723157017,0.3807575,0.202207604,0.302338036,0.588191859,0.412053482,0.411754707,0.366685237,0.292023861,0.359022061,0.558746053,0.292322054,0.433764424,0.540997775,0.29011903,0.699730716,0.332575153,0.355174248,0.41839406,0.481746648,0.262361776,0.280406746,0.442642866,0.422552991,0.390265342,0.454710214,0.272547462,0.675222826,0.33449134,0.624794663,0.601123885,0.264083904,0.31286201,0.289281791,0.319779838,0.358010948,0.419973209,0.249739447,0.349738945,0.332003415,0.419963751,0.370470079,0.333617206,0.1712
353,0.445691356,0.360538216,0.552690941,0.678077277,0.270571503,0.418162349,0.290509818,0.564899679,0.262080895,0.675178327,0.396379536,0.509033673,0.51495222,0.689146437,0.276202559,0.245034923,0.42202038,0.366772257,0.219730992,0.288198578,0.69244651,0.503096891,0.767711992,0.333177798,0.284535478,0.470333111,0.454527695,0.534289808,0.727381456,0.615293804,0.363459322,0.262070809,0.421098277,0.640283136,0.840781285,0.859115039,0.442594555,0.458492343,0.416179764,0.524396715,0.428415501,0.59870749,0.357539153,0.722951263,0.380493214,0.202292705,0.302487347,0.588173945,0.412272688,0.411581822,0.36683802,0.292219314,0.35917884,0.558783789,0.292446818,0.433744393,0.540987442,0.290405715,0.699532551,0.332527895,0.355168591,0.418617861,0.481812026,0.262544778,0.280124656,0.442754179,0.422725423,0.390365084,0.455131812,0.272542343,0.675319647,0.334885652,0.62485334,0.601399047,0.264266304,0.31285246,0.28914681,0.319875168,0.358165987,0.42027735,0.250180867,0.349869894,0.331857139,0.42018986,0.370697086,0.333867065,0.17105
354,0.445822012,0.360695303,0.552299413,0.677914873,0.271097524,0.418866076,0.290442677,0.564973888,0.262186471,0.675399203,0.396764102,0.509032419,0.515164679,0.689338626,0.276393099,0.245111126,0.42209985,0.367095374,0.21991811,0.288302651,0.692661491,0.503450807,0.767828291,0.333682956,0.284603784,0.470452931,0.454724481,0.534228915,0.727163726,0.615359947,0.363754632,0.262254059,0.421373284,0.640248427,0.840695854,0.859183135,0.442773283,0.458696083,0.416242958,0.524335049,0.428230136,0.598657307,0.357590573,0.722213009,0.380348648,0.202500195,0.302564026,0.588208551,0.412398808,0.411761233,0.367029487,0.292514255,0.359491808,0.558662613,0.292754225,0.433745663,0.541119308,0.290424093,0.699264158,0.332601586,0.355182393,0.418732849,0.481827522,0.262437869,0.280384798,0.442828148,0.422769125,0.390521313,0.4554756,0.272555699,0.675849521,0.33582039,0.625041993,0.601464686,0.264430353,0.312804211,0.289322486,0.319619691,0.358382246,0.420567291,0.250096706,0.350127594,0.331891244,0.42042714,0.370987093,0.333995816,0.1707
355,0.445780837,0.360804212,0.552196415,0.677767931,0.271599341,0.419137423,0.290100929,0.565024789,0.262407825,0.675547995,0.397068894,0.508937793,0.515232283,0.689354232,0.276558962,0.245622858,0.422264641,0.367296204,0.220016654,0.288479171,0.69293939,0.503864456,0.767935569,0.333922376,0.284586925,0.470476489,0.454876458,0.534093965,0.727001482,0.615290171,0.363974034,0.262275732,0.42146754,0.640247976,0.840591503,0.859261084,0.442835789,0.458963218,0.416256267,0.524182812,0.42806166,0.598561613,0.357665974,0.721579938,0.380276617,0.202656513,0.302649223,0.58814118,0.412581856,0.411989349,0.36714703,0.292756295,0.359853336,0.558472293,0.293082294,0.433822164,0.541208559,0.2903673,0.699020771,0.332783001,0.355284493,0.418761599,0.481799847,0.262360096,0.280709071,0.442882901,0.422867025,0.390652474,0.455762589,0.272702532,0.676270469,0.336348107,0.625257783,0.601522226,0.264625112,0.312734414,0.289561405,0.319416604,0.358521163,0.420788315,0.250047148,0.350447299,0.332191689,0.420512122,0.371200194,0.334179506,0.17045
356,0.445759194,0.360940413,0.552648723,0.677850603,0.271939103,0.419037369,0.289861012,0.564805695,0.262855546,0.675572783,0.397375772,0.509483167,0.515139782,0.689414819,0.276544148,0.246069553,0.422342659,0.367193837,0.220229912,0.288992533,0.693091477,0.504179706,0.767959868,0.333782739,0.284881394,0.470296898,0.454970728,0.533757268,0.727056103,0.615113403,0.364004593,0.262180264,0.421331732,0.640173504,0.840517326,0.859315805,0.442764266,0.45908794,0.416323394,0.52380374,0.427972781,0.598390818,0.357626479,0.721381588,0.380197412,0.202704656,0.302793795,0.587951464,0.41286904,0.412051715,0.367145011,0.292866449,0.360115383,0.558345372,0.29327593,0.433943577,0.541151626,0.290382422,0.698865256,0.33296518,0.355439606,0.418771887,0.481763566,0.26253976,0.280707361,0.442954574,0.42308877,0.390749785,0.456034526,0.272946954,0.676310929,0.336115587,0.625417889,0.601723206,0.264844288,0.312711133,0.289654212,0.319512255,0.358547315,0.420957102,0.25033309,0.350722963,0.332620996,0.420440115,0.371315089,0.334492477,0.17015
357,0.445831462,0.361029191,0.552762952,0.677812793,0.272387092,0.419689932,0.290117393,0.564645684,0.263093659,0.675576293,0.397342358,0.509151562,0.515404926,0.689763841,0.276780834,0.246084453,0.422723334,0.3677836,0.220949764,0.289282577,0.692972571,0.504378784,0.76800854,0.334152078,0.285181492,0.470035917,0.455098383,0.533851011,0.726966264,0.615088292,0.364185162,0.262387395,0.421518282,0.640012477,0.84048421,0.859241093,0.442900404,0.458947727,0.416384784,0.523587631,0.427725876,0.598390254,0.357180677,0.720875255,0.380124251,0.202957771,0.302964894,0.588005667,0.413012346,0.412146203,0.367093626,0.293042009,0.360073562,0.558428368,0.293207253,0.433855329,0.541157375,0.290323194,0.698836265,0.332917512,0.355351773,0.418788195,0.48174494,0.262821381,0.280506991,0.443187896,0.423159992,0.391003278,0.456315704,0.27296749,0.676612082,0.336367525,0.625557683,0.60200259,0.264900863,0.312964198,0.289628957,0.319637628,0.358664548,0.421217509,0.250249891,0.35070767,0.33257357,0.420608807,0.371570598,0.334661639,0.16975
358,0.44550853,0.361062966,0.552570348,0.677723964,0.272732813,0.420199108,0.290081649,0.56449734,0.263341048,0.675698338,0.397692282,0.509489359,0.515476907,0.690161738,0.277119746,0.246068174,0.42306181,0.368135374,0.221091207,0.289415252,0.693016984,0.504538373,0.768080805,0.334473314,0.285300454,0.469867702,0.45510915,0.533940697,0.726938824,0.615115417,0.364307782,0.262435681,0.421594791,0.639833361,0.840373877,0.859202858,0.443071615,0.458892891,0.416438215,0.523365098,0.427506455,0.598356349,0.35715409,0.72056638,0.380027122,0.202981148,0.302829979,0.587893456,0.412990007,0.412289731,0.367137508,0.293156988,0.360231818,0.558452785,0.293385103,0.433719503,0.541247505,0.290323971,0.69884398,0.332901936,0.355360739,0.418903317,0.481728912,0.26293379,0.280228232,0.443282713,0.42329757,0.391122214,0.456657593,0.273080334,0.67688632,0.336748672,0.625493845,0.602250634,0.265006483,0.313070608,0.289809138,0.319617713,0.358876792,0.421638995,0.25015748,0.350806062,0.332747683,0.420838517,0.371898041,0.334845378,0.16935
359,0.445383725,0.361104179,0.552282734,0.677630854,0.27300012,0.420473444,0.289720202,0.564419877,0.263610918,0.675882457,0.398200535,0.510453998,0.515348274,0.690481324,0.277488938,0.246297931,0.423254663,0.368092609,0.220718802,0.289520438,0.693210242,0.504728192,0.768159723,0.334636755,0.285330815,0.469808893,0.455085265,0.533914543,0.72700359,0.61510419,0.364383422,0.262365509,0.421549315,0.639697235,0.840224362,0.859234565,0.443192456,0.45903863,0.416525073,0.523145765,0.427403021,0.598294727,0.35745478,0.720495417,0.379964244,0.202802811,0.302559348,0.587656665,0.412981218,0.412445191,0.367311064,0.293279514,0.360570678,0.558345867,0.293754143,0.433711649,0.541355214,0.290430997,0.698835316,0.332997807,0.355526896,0.419067891,0.481738487,0.262890722,0.2801515,0.443272417,0.423549206,0.391120821,0.456989575,0.273308414,0.677037939,0.337136916,0.625377639,0.602430937,0.265157546,0.31295816,0.290107844,0.319496187,0.35914778,0.422043409,0.250197712,0.351046506,0.333172053,0.421026139,0.372132742,0.335048685,0.169
