WL (nm),MAC (m2/mg)
350,0.4679754829
351,0.465959581
352,0.4623037029
353,0.4578333398
354,0.4529105125
355,0.447342571
356,0.4408996574
357,0.4350586569
358,0.429365396
359,0.4243587942
360,0.4194029356
361,0.4129631755
362,0.4078899165
363,0.4046062089
364,0.4007089452
365,0.3972798623
366,0.3928906036
367,0.3882230682
368,0.3832175968
369,0.3763350539
370,0.3688076252
371,0.3614830965
372,0.3538555849
373,0.3466462457
374,0.3393138124
375,0.3310593812
376,0.3236064073
377,0.3168230692
378,0.3095961656
379,0.3036850485
380,0.2978901269
381,0.2915081194
382,0.2861031099
383,0.2799099633
384,0.2736328968
385,0.2700418012
386,0.2659791268
387,0.2613561528
388,0.2575345761
389,0.2545231009
390,0.2505830138
391,0.2467946094
392,0.2432179176
393,0.239265986
394,0.2345219384
395,0.2293973766
396,0.223880212
397,0.219528105
398,0.2134439643
399,0.2071248077
400,0.2020884266
401,0.1961168107
402,0.1907592226
403,0.1853419167
404,0.1798914902
405,0.1748283742
406,0.1700975712
407,0.1644052597
408,0.1607999897
409,0.1555977783
410,0.1515438061
411,0.1475770968
412,0.1444625025
413,0.1401626784
414,0.1368137593
415,0.1328948009
416,0.1298524151
417,0.1260143958
418,0.1226992525
419,0.119303865
420,0.1163734098
421,0.1132921709
422,0.1105264334
423,0.1075622009
424,0.1048855681
425,0.1011609085
426,0.0989968109
427,0.0959415103
428,0.0931511037
429,0.090531771
430,0.088381382
431,0.086141125
432,0.0838528842
433,0.0810902632
434,0.0788837512
435,0.0764764488
436,0.0749084736
437,0.0731377743
438,0.071472117
439,0.0700322414
440,0.0679245825
441,0.0665633743
442,0.0653844872
443,0.0633710044
444,0.0619140102
445,0.0611921114
446,0.0595193364
447,0.0583449213
448,0.0566123162
449,0.0565547227
450,0.0556260346
451,0.0545783313
452,0.0539981341
453,0.0535819416
454,0.0522995575
455,0.0518069153
456,0.0509675503
457,0.0506688721
458,0.0501567677
459,0.0498716014
460,0.0495963172
461,0.048942589
462,0.0484254259
463,0.0479218533
464,0.0473700914
465,0.0469075369
466,0.0463086636
467,0.0461702688
468,0.0454134564
469,0.0456162072
470,0.0472503587
471,0.0462194952
472,0.0457047457
473,0.0448987067
474,0.0440901007
475,0.0432966442
476,0.0430536471
477,0.0426338819
478,0.041904304
479,0.0417581979
480,0.0410941377
481,0.040916468
482,0.0399497472
483,0.0399509462
484,0.0392603855
485,0.0390113545
486,0.0379334549
487,0.0369917018
488,0.036606484
489,0.0359943565
490,0.0357638511
491,0.0345293227
492,0.0340530651
493,0.0331428968
494,0.0325613169
495,0.0325789543
496,0.0311987934
497,0.030236635
498,0.0298124098
499,0.0295414794
500,0.0285819389
501,0.0280471637
502,0.02700419
503,0.0264668824
504,0.0256573025
505,0.0248229961
506,0.0242257009
507,0.0241074969
508,0.022505924
509,0.0225133572
510,0.0216620147
511,0.0214554435
512,0.0209456198
513,0.0202180377
514,0.0196554414
515,0.0186231129
516,0.0184633628
517,0.0178917316
518,0.0171419818
519,0.0170066537
520,0.0163850913
521,0.0161343247
522,0.0157176882
523,0.0150502448
524,0.0147932584
525,0.0137212519
526,0.0136482822
527,0.0132253372
528,0.0130293726
529,0.0124640327
530,0.0123036799
531,0.0119201923
532,0.0111139669
533,0.0113697637
534,0.0109579321
535,0.010689917
536,0.0100502984
537,0.0098119742
538,0.00937923
539,0.0092122504
540,0.008387099
541,0.008376897
542,0.008220617
543,0.0078014602
544,0.0075322515
545,0.0072916322
546,0.00658754
547,0.0064026203
548,0.0062169378
549,0.0060781392
550,0.0056800909
551,0.0059249467
552,0.0057340815
553,0.0053965125
554,0.0052741836
555,0.0046443123
556,0.0046080955
557,0.0040184659
558,0.0032849515
559,0.0034400311
560,0.0028662064
561,0.0032354379
562,0.0023639483
563,0.002239298
564,0.0025154518
565,0.0017017737
566,0.001915644
567,0.0008807874
568,0.0015696155
569,0.0013241032
570,0.001546157
571,0.0006671742
572,0.0010013016
573,0.0002162292
574,0.0001341795
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
,0
